season,team,off_plays,off_epa_sum,off_epa_mean,def_plays,def_epa_mean
2023,TB,1537,-12.254449,-0.007972966,1544,-0.037008543
2023,TEN,1339,-41.95196,-0.031330816,1410,0.033262447
2023,WAS,1394,-117.7569,-0.0844741,1436,0.07420189
2024,ARI,1363,85.55539,0.06276991,1343,0.04973109
2024,ATL,1412,16.097038,0.011400169,1396,0.043904535
2024,BAL,1548,221.5254,0.14310427,1562,0.016175408
2024,BUF,1619,227.99644,0.14082548,1586,0.0075846296
2024,CAR,1345,-52.765133,-0.03923058,1485,0.12138559
2024,CHI,1417,-72.48128,-0.05115122,1332,0.011145175
2024,CIN,1416,127.03822,0.089716256,1411,0.056033816
2024,CLE,1468,-221.1064,-0.15061744,1365,-0.01119706
2024,DAL,1471,-66.2528,-0.045039292,1397,0.05106511
2024,DEN,1439,28.533222,0.019828508,1528,-0.05467758
2024,DET,1500,202.62605,0.13508403,1473,-0.019676272
2024,GB,1436,83.071266,0.057849072,1442,-0.03834632
2024,HOU,1570,-28.414019,-0.018098101,1520,-0.029435785
2024,IND,1370,-49.234745,-0.03593777,1439,0.008620038
2024,JAX,1300,8.746954,0.006728426,1464,0.09815021
2024,KC,1608,76.79271,0.04775666,1616,0.0106127765
2024,LA,1507,23.239782,0.015421223,1554,0.022602096
2024,LAC,1416,24.918295,0.017597666,1452,-0.053366754
2024,LV,1396,-148.82732,-0.10660983,1412,-0.0009689977
2024,MIA,1397,-20.583675,-0.014734198,1354,-0.0025079201
2024,MIN,1475,11.633702,0.007887255,1500,-0.0688073
2024,NE,1370,-88.15897,-0.064349614,1368,0.050389316
2024,NO,1361,-68.75179,-0.050515644,1455,0.006380898
2024,NYG,1408,-116.70556,-0.08288747,1359,0.040408768
2024,NYJ,1333,-5.733095,-0.0043008965,1404,0.048451588
2024,PHI,1772,152.67863,0.086161755,1642,-0.071578376
2024,PIT,1473,13.748588,0.009333733,1461,-0.011333925
2024,SEA,1393,-13.37801,-0.00960374,1409,-0.010260276
2024,SF,1349,31.746765,0.023533555,1328,0.06454834
2024,TB,1476,151.73462,0.10280123,1487,0.012879624
2024,TEN,1377,-123.40993,-0.08962231,1338,0.03776109
2024,WAS,1709,196.82036,0.11516698,1612,0.058783684
