season,week,game_id,home_gameday,home_home_team,home_away_team,home_home_score,home_away_score,home_home_win,home_total_points,home_team,home_opp_team,home_is_home,home_rest_days,home_points_for,home_points_against,home_team_win,home_off_plays,home_off_epa_sum,home_off_epa_mean,home_def_plays,home_def_epa_sum,home_def_epa_mean,home_rolling_off_epa_3,home_rolling_def_epa_3,home_net_epa_mean,home_rolling_net_epa_3,away_gameday,away_home_team,away_away_team,away_home_score,away_away_score,away_home_win,away_total_points,away_team,away_opp_team,away_is_home,away_rest_days,away_points_for,away_points_against,away_team_win,away_off_plays,away_off_epa_sum,away_off_epa_mean,away_def_plays,away_def_epa_sum,away_def_epa_mean,away_rolling_off_epa_3,away_rolling_def_epa_3,away_net_epa_mean,away_rolling_net_epa_3,home_win,diff_rolling_off_epa_3,diff_rolling_def_epa_3,diff_rolling_net_epa_3,diff_rest_days,home_prev_cluster_name,away_prev_cluster_name,home_prev_off_epa_mean,home_prev_def_epa_mean,home_prev_win_pct,away_prev_off_epa_mean,away_prev_def_epa_mean,away_prev_win_pct,diff_prev_off_epa_mean,diff_prev_def_epa_mean,diff_prev_win_pct,segment_home_seg,home_dyn_cluster_name,segment_away_seg,away_dyn_cluster_name
2021,10,2021_10_CAR_ARI,2021-11-14,ARI,CAR,10.0,34.0,0,44.0,ARI,CAR,1,7.0,10.0,34.0,0,71.0,-27.67175,-0.38974294,89.0,-3.5473313,-0.039857656,0.08996941770116489,0.10155150666832924,-0.34988528,-0.011582086483637491,2021-11-14,ARI,CAR,10.0,34.0,0,44.0,CAR,ARI,0,7.0,34.0,10.0,1,89.0,3.5473313,0.039857656,71.0,27.67175,0.38974294,-0.24687925105293593,0.09894327446818352,-0.34988528,-0.3458225230375926,0,0.3368486687541008,0.0026082322001457214,0.3342404365539551,0.0,Balanced strong,Struggling,0.013118736,0.028053697,0.5,0.011838479,-0.05598157,0.3125,0.0012802575,0.08403526,0.1875,G9-12,Offense-heavy,G9-12,Struggling
2021,14,2021_14_LA_ARI,2021-12-13,ARI,LA,23.0,30.0,0,53.0,ARI,LA,1,8.0,23.0,30.0,0,96.0,-1.9737087,-0.020559466,74.0,-10.661046,-0.1440682,-0.05714483559131622,0.03484832992156347,0.12350873,-0.09199316551287968,2021-12-13,ARI,LA,23.0,30.0,0,53.0,LA,ARI,0,8.0,30.0,23.0,1,74.0,10.661046,0.1440682,96.0,1.9737087,0.020559466,0.002571361760298411,0.013399173816045126,0.12350873,-0.010827812055746714,0,-0.05971619735161463,0.02144915610551834,-0.08116535345713297,0.0,Balanced strong,Defense-first,0.013118736,0.028053697,0.5,-0.03517826,0.1169907,0.6111111111111112,0.048296995,-0.088937,-0.11111111111111116,G13+,Offense-heavy,G13+,Struggling
2021,16,2021_16_IND_ARI,2021-12-25,ARI,IND,16.0,22.0,0,38.0,ARI,IND,1,6.0,16.0,22.0,0,80.0,-9.342006,-0.11677507,87.0,2.2731333,0.026127968,-0.013202326372265816,-0.04698401937882105,-0.14290304,0.03378169238567352,2021-12-25,ARI,IND,16.0,22.0,0,38.0,IND,ARI,0,7.0,22.0,16.0,1,87.0,-2.2731333,-0.026127968,80.0,9.342006,0.11677507,0.0017098927249511082,0.18420520921548209,-0.14290304,-0.18249531090259552,0,-0.014912219097216925,-0.23118922859430313,0.21627700328826904,-1.0,Balanced strong,Balanced strong,0.013118736,0.028053697,0.5,0.05791572,0.031237343,0.6470588235294118,-0.044796985,-0.0031836461,-0.1470588235294118,G13+,Balanced,G13+,Offense-heavy
2021,18,2021_18_SEA_ARI,2022-01-09,ARI,SEA,30.0,38.0,0,68.0,ARI,SEA,1,7.0,30.0,38.0,0,97.0,-2.2839112,-0.023545476,74.0,-8.352836,-0.112876154,-0.06298407167196274,-0.01477415720000863,0.08933068,-0.04820991555849711,2022-01-09,ARI,SEA,30.0,38.0,0,68.0,SEA,ARI,0,7.0,38.0,30.0,1,74.0,8.352836,0.112876154,97.0,2.2839112,0.023545476,0.03763966510693232,-0.026641156213978927,0.08933068,0.06428082287311554,0,-0.10062373677889505,0.011866999013970297,-0.11249073843161264,0.0,Balanced strong,Offense-driven,0.013118736,0.028053697,0.5,0.075348824,-0.0075088115,0.7058823529411765,-0.062230088,0.035562508,-0.20588235294117652,G13+,Balanced,G13+,Offense-heavy
2022,1,2022_01_KC_ARI,2022-09-11,ARI,KC,21.0,44.0,0,65.0,ARI,KC,1,237.0,21.0,44.0,0,82.0,0.95934933,0.011699382,83.0,-30.354002,-0.36571085,-0.09293746016919613,-0.05689809455846747,0.37741023,-0.03603936483462652,2022-09-11,ARI,KC,21.0,44.0,0,65.0,KC,ARI,0,224.0,44.0,21.0,1,83.0,30.354002,0.36571085,82.0,-0.95934933,-0.011699382,0.15324238749841848,-0.0846349944670995,0.37741023,0.2378773813446363,0,-0.2461798476676146,0.027736899908632033,-0.2739167461792628,13.0,Balanced strong,Offense-driven,0.0038482514,0.046824466,0.6111111111111112,0.122503385,-0.02350012,0.7,-0.11865513,0.070324585,-0.0888888888888888,G1-4,Balanced,G1-4,Balanced
2022,3,2022_03_LA_ARI,2022-09-25,ARI,LA,12.0,20.0,0,32.0,ARI,LA,1,7.0,12.0,20.0,0,99.0,-7.6663775,-0.07743815,64.0,-4.2119484,-0.06581169,-0.09410685921708743,-0.13562258891761303,-0.01162646,0.04151572845876217,2022-09-25,ARI,LA,12.0,20.0,0,32.0,LA,ARI,0,7.0,20.0,12.0,1,64.0,4.2119484,0.06581169,99.0,7.6663775,0.07743815,-0.12376759946346283,0.03523426502943039,-0.01162646,-0.15900186697642008,0,0.029660740246375397,-0.17085685394704342,0.20051759543518224,0.0,Balanced strong,Balanced strong,0.0038482514,0.046824466,0.6111111111111112,0.039025612,0.06129794,0.7619047619047619,-0.03517736,-0.014473472,-0.1507936507936507,G1-4,Balanced,G1-4,Struggling
2022,5,2022_05_PHI_ARI,2022-10-09,ARI,PHI,17.0,20.0,0,37.0,ARI,PHI,1,7.0,17.0,20.0,0,85.0,1.2887182,0.01516139,85.0,-8.491112,-0.09989543,-0.0369723786910375,0.09448025810221831,0.11505682,-0.13145263182620207,2022-10-09,ARI,PHI,17.0,20.0,0,37.0,PHI,ARI,0,7.0,20.0,17.0,1,85.0,8.491112,0.09989543,85.0,-1.2887182,-0.01516139,0.0199916809797287,0.1868241180976232,0.11505682,-0.1668324371178945,0,-0.0569640596707662,-0.09234385999540488,0.035379805291692434,0.0,Balanced strong,Balanced strong,0.0038482514,0.046824466,0.6111111111111112,0.029686753,-0.0006258239,0.5,-0.025838502,0.04745029,0.11111111111111116,G5-8,Balanced,G5-8,Offense-heavy
2022,7,2022_07_NO_ARI,2022-10-20,ARI,NO,42.0,34.0,1,76.0,ARI,NO,1,4.0,42.0,34.0,1,85.0,8.321725,0.09790265,92.0,-2.1520047,-0.023391355,-0.09062352931747834,0.10985277096430461,0.12129401,-0.2004762962460518,2022-10-20,ARI,NO,42.0,34.0,1,76.0,NO,ARI,0,4.0,34.0,42.0,0,92.0,2.1520047,0.023391355,85.0,-8.321725,-0.09790265,0.08924018839995067,-0.1068894515434901,0.12129401,0.19612963994344076,1,-0.179863717717429,0.2167422225077947,-0.3966059361894926,0.0,Balanced strong,Defense-first,0.0038482514,0.046824466,0.6111111111111112,-0.0983102,0.11288308,0.5294117647058824,0.10215846,-0.06605862,0.0816993464052288,G5-8,Balanced,G5-8,Balanced
2022,9,2022_09_SEA_ARI,2022-11-06,ARI,SEA,21.0,31.0,0,52.0,ARI,SEA,1,7.0,21.0,31.0,0,84.0,-11.664189,-0.13885939,89.0,-3.9107466,-0.043940973,-0.04988881448904673,0.01784985822935899,-0.094918415,-0.0677386714766423,2022-11-06,ARI,SEA,21.0,31.0,0,52.0,SEA,ARI,0,7.0,31.0,21.0,1,89.0,3.9107466,0.043940973,84.0,11.664189,0.13885939,0.03556438038746516,0.1551209588845571,-0.094918415,-0.11955657849709193,0,-0.08545319487651189,-0.1372711006551981,0.05181790702044964,0.0,Balanced strong,Balanced strong,0.0038482514,0.046824466,0.6111111111111112,0.013262333,0.0047760247,0.4117647058823529,-0.009414082,0.042048443,0.19934640522875824,G9-12,Balanced,G9-12,Offense-heavy
2022,11,2022_11_SF_ARI,2022-11-21,ARI,SF,10.0,38.0,0,48.0,ARI,SF,1,8.0,10.0,38.0,0,86.0,-10.496693,-0.12205457,73.0,-21.761303,-0.29810005,-0.061987644682327904,0.03937603843708833,0.17604548,-0.10136368311941624,2022-11-21,ARI,SF,10.0,38.0,0,48.0,SF,ARI,0,8.0,38.0,10.0,1,73.0,21.761303,0.29810005,86.0,10.496693,0.12205457,0.09540227800607681,-0.06859447434544563,0.17604548,0.1639967461427053,0,-0.1573899226884047,0.10797051278253397,-0.26536042926212156,0.0,Balanced strong,Balanced strong,0.0038482514,0.046824466,0.6111111111111112,0.02687496,0.02349163,0.6,-0.023026709,0.023332836,0.011111111111111183,G9-12,Balanced,G9-12,Balanced
