season,team,segment,seg_games,seg_off_roll3_mean,seg_def_roll3_mean,seg_net_roll3_mean,cluster_id,cluster_name
2019,WAS,G5-8,4,-0.2561317042758067,0.0038392016043265666,-0.25997090960542363,2,Cluster_2
2019,WAS,G9-12,4,-0.19107801715532938,-0.009346735780127347,-0.18173128490646678,2,Cluster_2
2020,ARI,G1-4,4,0.040391412563622,-0.021825361996889114,0.06221677487095197,0,Cluster_0
2020,ARI,G13+,4,-0.029131347740379475,-0.09253973389665285,0.06340839030841985,1,Cluster_1
2020,ARI,G5-8,4,0.10561728958661357,-0.007264077663421631,0.1128813698887825,0,Cluster_0
2020,ARI,G9-12,4,0.0705198785290122,0.05691931241502365,0.013600566113988558,0,Cluster_0
2020,ATL,G1-4,4,-0.01739943524201711,0.068907480686903,-0.08630691841244698,2,Cluster_2
2020,ATL,G13+,4,-0.028850476955994964,-0.06077509125073751,0.031924612509707614,1,Cluster_1
2020,ATL,G5-8,4,0.04226081880430381,0.08566457871347666,-0.04340376239269971,0,Cluster_0
2020,ATL,G9-12,4,0.050284206673192486,-0.03406838343168298,0.08435258766015372,0,Cluster_0
2020,BAL,G1-4,4,0.11872216872870922,-0.06096296509106954,0.17968514064947763,1,Cluster_1
2020,BAL,G13+,6,0.17069542366597387,-0.04474405675298638,0.2154394777284728,0,Cluster_0
2020,BAL,G5-8,4,0.05558066566785177,-0.08932786372800668,0.14490853622555733,1,Cluster_1
2020,BAL,G9-12,4,-0.013795629454155762,-0.0176016753539443,0.003806047762433689,0,Cluster_0
2020,BUF,G1-4,4,0.16955302779873213,0.07996795326471329,0.08958507577578227,0,Cluster_0
2020,BUF,G13+,7,0.16635961262952711,-0.06656670641331446,0.2329263197524207,1,Cluster_1
2020,BUF,G5-8,4,0.08091996253157654,0.12556934215050813,-0.04464937746524811,0,Cluster_0
2020,BUF,G9-12,4,0.08968701741347711,0.03270635101944208,0.05698066701491673,0,Cluster_0
2020,CAR,G1-4,4,-0.0032762959599494934,0.05840548872947693,-0.06168178468942642,2,Cluster_2
2020,CAR,G13+,4,-0.017425691864142813,-0.024962025384108227,0.007536331502099832,0,Cluster_0
2020,CAR,G5-8,4,0.06710652882854144,0.02263550941521923,0.044471019258101784,0,Cluster_0
2020,CAR,G9-12,4,0.06041284122814735,0.14495790059057376,-0.08454506037135918,0,Cluster_0
2020,CHI,G1-4,4,-0.025391864279905956,-0.08100192621350288,0.055610060691833496,1,Cluster_1
2020,CHI,G13+,5,0.10805513523519039,0.03779125139117241,0.07026388347148896,0,Cluster_0
2020,CHI,G5-8,4,-0.08370702480897307,-0.05121839764372756,-0.032488626427948475,2,Cluster_2
2020,CHI,G9-12,4,-0.1452173364814371,-0.045048746901253864,-0.10016858795036872,2,Cluster_2
2020,CIN,G1-4,4,-0.012961244831482569,0.04340500943362713,-0.05636625178158283,2,Cluster_2
2020,CIN,G13+,4,-0.14169104024767876,0.01569986475321154,-0.15739090740680695,2,Cluster_2
2020,CIN,G5-8,4,-0.004962820559740066,0.07389166827003162,-0.07885448914021254,2,Cluster_2
2020,CIN,G9-12,4,0.007064656044046089,0.1182103049941361,-0.11114564910531044,2,Cluster_2
2020,CLE,G1-4,4,0.025336896379788715,0.06500368565320969,-0.03966679175694784,0,Cluster_0
2020,CLE,G13+,6,0.10134538387258847,0.06382809662156634,0.03751728580229812,0,Cluster_0
2020,CLE,G5-8,4,0.07591713840762773,0.053271267252663776,0.02264586618791024,0,Cluster_0
2020,CLE,G9-12,4,-0.013188502130409082,0.016860672583182655,-0.030049174092710015,0,Cluster_0
2020,DAL,G1-4,4,0.010767548034588495,0.05076536536216736,-0.039997817327578865,0,Cluster_0
2020,DAL,G13+,4,0.014105272168914478,-0.0011343410975920634,0.015239618097742401,0,Cluster_0
2020,DAL,G5-8,4,0.00779296768208345,0.15725012434025604,-0.14945715541640917,2,Cluster_2
2020,DAL,G9-12,4,-0.1494540131340424,-0.0047634094953537,-0.14469060488045216,2,Cluster_2
2020,DEN,G1-4,4,-0.12983990833163261,-0.022644019530465204,-0.10719589268167813,2,Cluster_2
2020,DEN,G13+,4,-0.054492670887460314,0.09462028897056977,-0.14911296498030424,2,Cluster_2
2020,DEN,G5-8,4,-0.07559291180223227,-0.03560554701834917,-0.03998737192402283,2,Cluster_2
2020,DEN,G9-12,4,-0.10750906992082795,0.05831832562883695,-0.1658273966362079,2,Cluster_2
2020,DET,G1-4,4,0.008195195502291122,0.10391644171128671,-0.09572124853730202,2,Cluster_2
2020,DET,G13+,4,0.0032137371599674208,0.1855902336537838,-0.18237649897734326,2,Cluster_2
2020,DET,G5-8,4,0.06016032991465181,0.04653562496726711,0.013624705995122593,0,Cluster_0
2020,DET,G9-12,4,-0.08829035609960556,0.059041416427741446,-0.1473317698885997,2,Cluster_2
2020,GB,G1-4,4,0.25512387851874035,0.0945281065069139,0.16059577465057373,0,Cluster_0
