country,squad_size,average_age,foreigners,confederation,fifa_world_ranking,total_market_value_raw,total_market_value_eur,source_file
Tunisia,26,26.7,20,CAF,44,€69.95m,69950000,data/raw/20260612_130910_transfermarkt_Tunisia_national_team_0e1d092b569b.html
Belgium,26,27.6,23,UEFA,9,€547.50m,547500000,data/raw/20260612_130913_transfermarkt_Belgium_national_team_ccb56269a589.html
Egypt,26,29.1,9,CAF,29,€116.48m,116480000,data/raw/20260612_130917_transfermarkt_Egypt_national_team_7779f6c44fe7.html
Iran,26,30.4,9,AFC,21,€32.05m,32049999,data/raw/20260612_130921_transfermarkt_Iran_national_team_b8e05093460a.html
New Zealand,26,28.1,18,OFC,85,€34.35m,34350000,data/raw/20260612_130925_transfermarkt_New_Zealand_national_team_91675b68a28f.html
Spain,26,26.8,9,UEFA,2,€1.22bn,1220000000,data/raw/20260612_130928_transfermarkt_Spain_national_team_a2e9e5436d15.html
Cape Verde,26,29.7,26,CAF,69,€54.50m,54500000,data/raw/20260612_130932_transfermarkt_Cape_Verde_national_team_db613d8fac9f.html
Saudi Arabia,26,28.5,1,AFC,61,€40.68m,40680000,data/raw/20260612_130935_transfermarkt_Saudi_Arabia_national_team_9d4f97ed6145.html
Uruguay,26,28.8,26,South American Football Confederation,17,€359.30m,359300000,data/raw/20260612_130939_transfermarkt_Uruguay_national_team_3943746ca766.html
France,26,27.0,19,UEFA,1,€1.52bn,1520000000,data/raw/20260612_130943_transfermarkt_France_national_team_63da02757c2d.html
Senegal,26,27.1,26,CAF,14,€478.10m,478100000,data/raw/20260612_130947_transfermarkt_Senegal_national_team_49e78571481a.html
Iraq,26,26.9,16,AFC,57,€21.20m,21200000,data/raw/20260612_130950_transfermarkt_Iraq_national_team_6d8782f2a3da.html
Norway,26,26.8,22,UEFA,31,€589.90m,589900000,data/raw/20260612_130954_transfermarkt_Norway_national_team_30d44385cc9d.html
Argentina,26,29.1,24,South American Football Confederation,3,€807.50m,807500000,data/raw/20260612_130957_transfermarkt_Argentina_national_team_19b2bdd41665.html
Algeria,26,26.9,23,CAF,28,€256.90m,256899999,data/raw/20260612_131001_transfermarkt_Algeria_national_team_c00a591eadfb.html
Austria,26,28.6,23,UEFA,24,€245.20m,245200000,data/raw/20260612_131006_transfermarkt_Austria_national_team_7370e4b94fef.html
Jordan,26,28.5,14,AFC,63,€20.30m,20300000,data/raw/20260612_131009_transfermarkt_Jordan_national_team_514f05496622.html
Colombia,26,30.1,25,South American Football Confederation,13,€302.35m,302350000,data/raw/20260612_131014_transfermarkt_Colombia_national_team_0a7411655656.html
DR Congo,26,29.1,26,CAF,46,€143.90m,143900000,data/raw/20260612_131018_transfermarkt_DR_Congo_national_team_cd6e496e7a6c.html
Portugal,26,28.1,21,UEFA,5,€1.01bn,1010000000,data/raw/20260612_131021_transfermarkt_Portugal_national_team_9cdd0e7fd488.html
Uzbekistan,26,28.5,11,AFC,50,€85.33m,85330000,data/raw/20260612_131026_transfermarkt_Uzbekistan_national_team_e51c04d2e0ba.html
England,26,27.2,5,UEFA,4,€1.36bn,1360000000,data/raw/20260612_131029_transfermarkt_England_national_team_7ce47d64e10b.html
Croatia,26,28.4,24,UEFA,11,€387.30m,387300000,data/raw/20260612_131033_transfermarkt_Croatia_national_team_924e54e251a6.html
Ghana,27,26.8,26,CAF,74,€234.60m,234600000,data/raw/20260612_131037_transfermarkt_Ghana_national_team_2d3d0ce1c9cc.html
Panama,26,30.5,24,CONCACAF,33,€34.55m,34550000,data/raw/20260612_131040_transfermarkt_Panama_national_team_d484f8eb3696.html
