date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_diff_home
2023-06-10,Mexico,Cameroon,2,2,Friendly,San Diego,United States,True,draw,0
2023-06-10,Panama,Nicaragua,3,2,Friendly,Penonomé,Panama,False,home_win,1
2023-06-11,Uzbekistan,Oman,3,0,CAFA Nations Cup,Tashkent,Uzbekistan,False,home_win,3
2023-06-12,Germany,Ukraine,3,3,Friendly,Bremen,Germany,False,draw,0
2023-06-12,Morocco,Cape Verde,0,0,Friendly,Rabat,Morocco,False,draw,0
2023-06-13,Iran,Afghanistan,6,1,CAFA Nations Cup,Bishkek,Kyrgyzstan,True,home_win,5
2023-06-13,Curaçao,Costa Rica,0,0,Friendly,Fort Lauderdale,United States,True,draw,0
2023-06-14,DR Congo,Uganda,1,0,Friendly,Douala,Cameroon,True,home_win,1
2023-06-14,Uruguay,Nicaragua,4,1,Friendly,Montevideo,Uruguay,False,home_win,3
2023-06-14,Netherlands,Croatia,2,4,UEFA Nations League,Rotterdam,Netherlands,False,away_win,-2
2023-06-14,Uzbekistan,Turkmenistan,2,0,CAFA Nations Cup,Tashkent,Uzbekistan,False,home_win,2
2023-06-14,Guinea,Egypt,1,2,African Cup of Nations qualification,Marrakesh,Morocco,True,away_win,-1
2023-06-15,Panama,Canada,0,2,CONCACAF Nations League,Las Vegas,United States,True,away_win,-2
2023-06-15,United States,Mexico,3,0,CONCACAF Nations League,Las Vegas,United States,False,home_win,3
2023-06-15,Argentina,Australia,2,0,Friendly,Beijing,China,True,home_win,2
2023-06-15,Jamaica,Qatar,1,2,Friendly,Ritzing,Austria,True,away_win,-1
2023-06-15,Japan,El Salvador,6,0,Friendly,Toyota,Japan,False,home_win,6
2023-06-15,Spain,Italy,2,1,UEFA Nations League,Enschede,Netherlands,True,home_win,1
2023-06-16,Curaçao,Saint Kitts and Nevis,1,1,Gold Cup qualification,Fort Lauderdale,United States,True,draw,0
2023-06-16,Colombia,Iraq,1,0,Friendly,Valencia,Spain,True,home_win,1
2023-06-16,South Korea,Peru,0,1,Friendly,Busan,South Korea,False,away_win,-1
2023-06-16,Poland,Germany,1,0,Friendly,Warsaw,Poland,False,home_win,1
2023-06-16,Serbia,Jordan,3,2,Friendly,Vienna,Austria,True,home_win,1
2023-06-16,Sweden,New Zealand,4,1,Friendly,Stockholm,Sweden,False,home_win,3
2023-06-16,Gibraltar,France,0,3,UEFA Euro qualification,Faro-Loulé,Portugal,True,away_win,-3
2023-06-16,Malta,England,0,4,UEFA Euro qualification,Ta' Qali,Malta,False,away_win,-4
2023-06-16,Latvia,Turkey,2,3,UEFA Euro qualification,Riga,Latvia,False,away_win,-1
2023-06-16,Andorra,Switzerland,1,2,UEFA Euro qualification,Andorra la Vella,Andorra,False,away_win,-1
2023-06-16,Kyrgyzstan,Iran,1,5,CAFA Nations Cup,Bishkek,Kyrgyzstan,False,away_win,-4
2023-06-17,Brazil,Guinea,4,1,Friendly,Barcelona,Spain,True,home_win,3
2023-06-17,Ecuador,Bolivia,1,0,Friendly,Harrison,United States,True,home_win,1
2023-06-17,Norway,Scotland,1,2,UEFA Euro qualification,Oslo,Norway,False,away_win,-1
2023-06-17,Faroe Islands,Czech Republic,0,3,UEFA Euro qualification,Tórshavn,Faroe Islands,False,away_win,-3
2023-06-17,Belgium,Austria,1,1,UEFA Euro qualification,Brussels,Belgium,False,draw,0
2023-06-17,Portugal,Bosnia and Herzegovina,3,0,UEFA Euro qualification,Lisbon,Portugal,False,home_win,3
2023-06-17,Uzbekistan,Tajikistan,5,1,CAFA Nations Cup,Tashkent,Uzbekistan,False,home_win,4
2023-06-17,Zambia,Ivory Coast,3,0,African Cup of Nations qualification,Ndola,Zambia,False,home_win,3
2023-06-17,Equatorial Guinea,Tunisia,1,0,African Cup of Nations qualification,Malabo,Equatorial Guinea,False,home_win,1
2023-06-17,South Africa,Morocco,2,1,African Cup of Nations qualification,Johannesburg,South Africa,False,home_win,1
2023-06-17,Benin,Senegal,1,1,African Cup of Nations qualification,Cotonou,Benin,False,draw,0
2023-06-18,Panama,Mexico,0,1,CONCACAF Nations League,Las Vegas,United States,True,away_win,-1
2023-06-18,United States,Canada,2,0,CONCACAF Nations League,Las Vegas,United States,False,home_win,2
2023-06-18,Egypt,South Sudan,3,0,Friendly,Cairo,Egypt,False,home_win,3
2023-06-18,Paraguay,Nicaragua,2,0,Friendly,Asunción,Paraguay,False,home_win,2
2023-06-18,Netherlands,Italy,2,3,UEFA Nations League,Enschede,Netherlands,False,away_win,-1
2023-06-18,Croatia,Spain,0,0,UEFA Nations League,Rotterdam,Netherlands,True,draw,0
2023-06-18,Cape Verde,Burkina Faso,3,1,African Cup of Nations qualification,Praia,Cape Verde,False,home_win,2
2023-06-18,Madagascar,Ghana,0,0,African Cup of Nations qualification,Antananarivo,Madagascar,False,draw,0
2023-06-18,Uganda,Algeria,1,2,African Cup of Nations qualification,Douala,Cameroon,True,away_win,-1
2023-06-18,Gabon,DR Congo,0,2,African Cup of Nations qualification,Franceville,Gabon,False,away_win,-2
2023-06-19,Indonesia,Argentina,0,2,Friendly,Jakarta,Indonesia,False,away_win,-2
2023-06-19,Jamaica,Jordan,1,2,Friendly,Wiener Neustadt,Austria,True,away_win,-1
2023-06-19,France,Greece,1,0,UEFA Euro qualification,Paris,France,False,home_win,1
2023-06-19,England,North Macedonia,7,0,UEFA Euro qualification,Manchester,England,False,home_win,7
