stats_source,stats_complete,parsed_stat_count,match_id,match_url,team_side,team_name,opponent_side,opponent_name,attacking__possession,attacking__possession__in_contest,attacking__goal__total,attacking__goal__conceded,attacking__goal__inside_the_penalty_area,attacking__goal__outside_the_penalty_area,attacking__goal__assists,attacking__attempts_at_goal__total,attacking__attempts_at_goal__on_target,attacking__attempts_at_goal__off_target,attacking__attempts_at_goal__inside_the_penalty_area,attacking__attempts_at_goal__outside_the_penalty_area,attacking__final_third_entries__left_channel,attacking__final_third_entries__left_inside_channel,attacking__final_third_entries__central_channel,attacking__final_third_entries__right_inside_channel,attacking__final_third_entries__right_channel,attacking__offers_to_receive__total,attacking__offers_to_receive__in_behind,attacking__offers_to_receive__in_between,attacking__offers_to_receive__in_front,attacking__offers_to_receive__receptions_between_midfield_and_defensive_lines,attacking__offers_to_receive__receptions_behind_the_defensive_line,attacking__line_breaks__attempted_line_breaks,attacking__line_breaks__completed_line_breaks,attacking__line_breaks__attempted_defensive_line_breaks,attacking__line_breaks__completed_defensive_line_breaks,attacking__discipline__yellow_cards,attacking__discipline__red_cards,attacking__discipline__fouls_against,attacking__discipline__offsides,attacking__distribution__passes,attacking__distribution__passes_completed,attacking__distribution__crosses,attacking__distribution__crosses_completed,attacking__distribution__switches_of_play_completed,attacking__set_plays__corners,attacking__set_plays__free_kicks,attacking__set_plays__penalties_scored,defending__own_goals,defending__forced_turnovers,defending__pressing_applied
FIFA Official Stats,True,41,400021453,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021453,home,Haiti,away,Scotland,51%,9% in contest,0,1,0,0,0,15,2,9,8,7,37,6,8,8,11,267,105,94,68,83,3,142,96,12,4,1,0,23,3,431,378,26,5,4,4,22,0,0,29,185
FIFA Official Stats,True,41,400021453,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021453,away,Scotland,home,Haiti,40%,9% in contest,1,0,1,0,0,9,2,6,8,1,14,6,4,1,20,329,94,136,99,78,7,167,104,18,6,3,0,21,1,397,324,16,6,4,3,26,0,0,35,230
FIFA Official Stats,True,41,400021463,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021463,home,Australia,away,Türkiye,27%,11% in contest,2,0,1,1,1,9,4,4,6,3,4,3,7,8,15,193,42,90,61,60,10,130,71,21,10,0,0,12,1,293,224,14,6,1,5,7,0,0,35,384
FIFA Official Stats,True,41,400021463,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021463,away,Türkiye,home,Australia,62%,11% in contest,0,2,0,0,0,30,7,14,13,17,39,9,2,12,29,533,161,163,209,130,13,194,146,25,15,1,0,4,3,722,663,28,2,4,8,13,0,0,30,170
FIFA Official Stats,True,41,400021464,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021464,home,Germany,away,Curaçao,57%,9% in contest,7,1,7,0,6,26,12,7,22,4,20,9,23,3,26,445,124,181,140,152,17,190,144,28,18,0,0,18,0,641,569,20,7,3,8,11,1,0,46,227
FIFA Official Stats,True,41,400021464,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021464,away,Curaçao,home,Germany,35%,9% in contest,1,7,1,0,0,8,2,5,4,4,16,1,4,6,13,241,83,103,55,77,6,147,84,15,6,0,0,11,1,362,291,5,2,4,1,18,0,0,43,339
FIFA Official Stats,True,41,400021470,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021470,home,Netherlands,away,Japan,54%,9% in contest,2,2,2,0,2,10,6,4,10,0,18,8,10,9,18,298,85,91,122,95,11,153,109,20,13,3,0,7,1,529,473,23,8,0,5,7,0,0,33,194
FIFA Official Stats,True,41,400021470,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021470,away,Japan,home,Netherlands,37%,9% in contest,2,2,1,1,2,9,2,5,5,4,16,6,4,7,16,342,101,121,120,79,11,138,88,20,13,0,0,7,0,356,302,24,7,2,4,8,0,0,28,316
FIFA Official Stats,True,41,400021467,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021467,home,Côte d'Ivoire,away,Ecuador,41%,10% in contest,1,0,1,0,1,15,4,8,8,7,11,7,6,2,25,333,87,174,72,102,8,177,132,18,11,3,0,10,0,471,413,15,3,1,3,13,0,0,44,288
FIFA Official Stats,True,41,400021467,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021467,away,Ecuador,home,Côte d'Ivoire,49%,10% in contest,0,1,0,0,0,12,1,10,5,7,16,4,8,4,17,339,77,149,113,113,7,191,124,20,8,1,0,13,0,513,438,14,3,2,5,10,0,0,49,280
