stats_source,stats_complete,parsed_stat_count,match_id,match_url,team_side,team_name,opponent_side,opponent_name,attacking__possession,attacking__possession__in_contest,attacking__goal__total,attacking__goal__conceded,attacking__goal__inside_the_penalty_area,attacking__goal__outside_the_penalty_area,attacking__goal__assists,attacking__attempts_at_goal__total,attacking__attempts_at_goal__on_target,attacking__attempts_at_goal__off_target,attacking__attempts_at_goal__inside_the_penalty_area,attacking__attempts_at_goal__outside_the_penalty_area,attacking__final_third_entries__left_channel,attacking__final_third_entries__left_inside_channel,attacking__final_third_entries__central_channel,attacking__final_third_entries__right_inside_channel,attacking__final_third_entries__right_channel,attacking__offers_to_receive__total,attacking__offers_to_receive__in_behind,attacking__offers_to_receive__in_between,attacking__offers_to_receive__in_front,attacking__offers_to_receive__receptions_between_midfield_and_defensive_lines,attacking__offers_to_receive__receptions_behind_the_defensive_line,attacking__line_breaks__attempted_line_breaks,attacking__line_breaks__completed_line_breaks,attacking__line_breaks__attempted_defensive_line_breaks,attacking__line_breaks__completed_defensive_line_breaks,attacking__discipline__yellow_cards,attacking__discipline__red_cards,attacking__discipline__fouls_against,attacking__discipline__offsides,attacking__distribution__passes,attacking__distribution__passes_completed,attacking__distribution__crosses,attacking__distribution__crosses_completed,attacking__distribution__switches_of_play_completed,attacking__set_plays__corners,attacking__set_plays__free_kicks,attacking__set_plays__penalties_scored,defending__own_goals,defending__forced_turnovers,defending__pressing_applied
FIFA Official Stats,True,41,400021513,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021513,away,Paraguay,home,Germany,23%,12% in contest,1,1,1,0,1,7,3,4,6,1,10,9,9,2,9,131,36,57,38,73,7,171,62,26,6,2,0,12,1,264,166,20,6,2,6,21,0,0,59,410
FIFA Official Stats,True,41,400021522,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021522,home,Netherlands,away,Morocco,31%,8% in contest,1,1,1,0,1,6,2,2,4,2,11,3,10,5,16,192,74,60,58,68,5,149,75,11,4,0,0,18,3,395,307,10,2,3,5,15,0,0,51,340
FIFA Official Stats,True,41,400021522,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021522,away,Morocco,home,Netherlands,61%,8% in contest,1,1,1,0,1,11,5,4,5,6,24,7,6,7,35,464,156,130,178,111,11,166,109,20,10,1,0,15,0,891,813,19,4,3,8,21,0,0,52,244
FIFA Official Stats,True,41,400021514,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021514,home,Côte d'Ivoire,away,Norway,41%,9% in contest,1,2,1,0,1,14,5,4,10,4,21,3,6,5,19,266,89,88,89,102,17,154,109,28,16,0,0,6,2,406,353,33,8,6,14,9,0,0,45,318
FIFA Official Stats,True,41,400021514,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021514,away,Norway,home,Côte d'Ivoire,50%,9% in contest,2,1,2,0,2,9,4,2,8,1,15,4,5,7,21,309,66,173,70,119,4,157,112,15,5,1,0,7,2,492,442,15,7,2,3,8,0,0,31,216
FIFA Official Stats,True,41,400021523,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021523,home,France,away,Sweden,53%,9% in contest,3,0,3,0,3,25,12,10,15,10,28,11,9,9,12,378,110,130,138,134,18,186,146,25,16,0,0,14,3,548,498,22,5,5,9,11,0,0,35,213
FIFA Official Stats,True,41,400021523,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021523,away,Sweden,home,France,38%,9% in contest,0,3,0,0,0,8,3,4,6,2,7,3,10,6,17,250,58,107,85,78,6,156,77,24,6,0,0,10,1,365,296,11,2,1,1,17,0,0,34,258
FIFA Official Stats,True,41,400021520,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021520,home,Mexico,away,Ecuador,37%,11% in contest,2,0,1,1,2,15,3,10,9,6,17,6,5,5,13,275,73,131,71,84,11,146,96,19,10,0,0,10,0,317,259,10,5,1,3,15,0,0,33,215
FIFA Official Stats,True,41,400021520,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021520,away,Ecuador,home,Mexico,52%,11% in contest,0,2,0,0,0,7,1,4,5,2,25,8,10,1,11,243,74,79,90,75,5,162,83,19,7,3,1,14,1,420,353,27,3,4,8,10,0,0,35,191
FIFA Official Stats,True,41,400021512,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021512,home,England,away,Congo DR,53%,10% in contest,2,1,2,0,2,16,7,4,13,3,27,8,10,4,36,490,135,188,167,119,24,204,161,34,25,1,0,10,0,523,482,42,9,4,5,16,0,0,35,246
FIFA Official Stats,True,41,400021512,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021512,away,Congo DR,home,England,37%,10% in contest,1,2,1,0,1,7,2,4,2,5,16,5,2,4,9,312,74,127,111,87,6,170,106,19,9,1,0,12,4,392,326,16,2,3,3,10,0,0,36,336
FIFA Official Stats,True,41,400021525,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021525,home,Belgium,away,Senegal,48%,10% in contest,3,2,3,0,2,19,5,8,10,9,31,7,10,14,23,517,156,191,170,108,12,205,132,22,12,1,0,22,2,695,607,27,7,4,4,13,1,0,45,351
FIFA Official Stats,True,41,400021525,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021525,away,Senegal,home,Belgium,42%,10% in contest,2,3,2,0,1,19,5,11,10,9,22,5,9,4,28,420,119,156,145,135,17,255,166,29,16,1,0,12,2,638,555,27,7,6,2,24,0,0,52,352
FIFA Official Stats,True,41,400021524,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021524,home,USA,away,Bosnia and Herzegovina,43%,10% in contest,2,0,1,1,0,8,2,5,6,2,17,3,6,8,20,306,106,122,78,87,12,178,105,30,14,0,1,7,3,425,362,19,5,4,4,13,0,0,43,206
FIFA Official Stats,True,41,400021524,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021524,away,Bosnia and Herzegovina,home,USA,47%,10% in contest,0,2,0,0,0,10,3,4,4,6,15,3,1,3,19,286,94,81,111,53,4,117,60,9,5,1,0,13,0,459,381,12,1,5,3,10,0,0,32,208
FIFA Official Stats,True,41,400021519,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021519,home,Spain,away,Austria,59%,8% in contest,3,0,3,0,3,23,10,7,14,9,25,8,15,7,24,492,115,203,174,154,11,212,167,25,14,0,0,8,2,643,589,25,8,6,9,20,0,0,51,203
FIFA Official Stats,True,41,400021519,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021519,away,Austria,home,Spain,33%,8% in contest,0,3,0,0,0,5,0,4,4,1,10,4,3,1,4,259,56,115,88,81,5,153,87,12,5,1,0,15,5,360,291,14,4,1,0,10,0,0,41,410
FIFA Official Stats,True,41,400021526,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021526,home,Portugal,away,Croatia,55%,8% in contest,2,1,2,0,1,15,3,9,10,5,29,6,10,2,24,356,98,141,117,93,7,151,100,21,7,1,0,6,1,588,538,21,6,3,9,15,1,0,42,257
FIFA Official Stats,True,41,400021526,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021526,away,Croatia,home,Portugal,37%,8% in contest,1,2,1,0,0,13,6,5,10,3,11,4,10,1,11,300,102,125,73,90,7,140,82,16,7,2,0,12,4,386,330,21,6,5,5,7,0,0,35,291
FIFA Official Stats,True,41,400021527,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021527,home,Switzerland,away,Algeria,40%,9% in contest,2,0,2,0,1,11,5,4,9,2,19,7,3,4,12,256,75,95,86,100,9,178,107,22,10,0,0,10,0,451,371,18,5,1,4,14,0,0,56,283
FIFA Official Stats,True,41,400021527,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021527,away,Algeria,home,Switzerland,51%,9% in contest,0,2,0,0,0,8,2,2,5,3,25,7,5,1,17,389,137,141,111,92,7,206,128,19,9,2,0,12,2,571,491,7,3,10,2,10,0,0,47,266
FIFA Official Stats,True,41,400021515,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021515,home,Australia,away,Egypt,35%,12% in contest,1,1,0,0,0,16,2,7,10,6,18,5,11,5,20,381,90,167,124,119,15,216,133,26,11,0,0,12,0,520,428,23,6,4,4,17,0,0,56,373
FIFA Official Stats,True,41,400021515,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021515,away,Egypt,home,Australia,53%,12% in contest,1,1,1,0,1,14,4,5,8,6,22,8,2,7,34,552,128,194,230,84,15,211,136,27,20,2,0,14,3,729,638,22,3,13,7,12,0,1,42,304
FIFA Official Stats,True,41,400021521,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021521,home,Argentina,away,Cabo Verde,59%,7% in contest,3,2,2,0,2,22,12,5,15,7,28,18,25,11,24,426,135,135,156,146,22,229,189,29,24,1,0,13,3,862,800,19,6,5,8,14,0,0,51,289
FIFA Official Stats,True,41,400021521,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021521,away,Cabo Verde,home,Argentina,34%,7% in contest,2,3,1,1,2,16,5,7,5,11,26,5,9,5,16,377,100,180,97,87,4,177,119,14,5,1,0,12,2,491,425,19,5,3,8,16,0,1,45,415
FIFA Official Stats,True,41,400021517,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021517,home,Colombia,away,Ghana,54%,8% in contest,1,0,1,0,1,20,8,10,11,9,22,7,7,10,13,420,115,169,136,102,12,166,110,20,12,2,0,14,2,598,540,17,5,10,3,10,0,0,35,217
FIFA Official Stats,True,41,400021517,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021517,away,Ghana,home,Colombia,38%,8% in contest,0,1,0,0,0,8,0,4,1,7,11,3,5,7,12,195,62,78,55,65,3,166,90,16,3,3,0,10,0,390,329,15,2,3,2,16,0,0,36,297
FIFA Official Stats,True,41,400021530,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021530,home,Canada,away,Morocco,37%,13% in contest,0,3,0,0,0,10,3,2,6,4,21,9,10,3,18,292,75,134,83,77,12,167,95,25,12,4,0,24,2,368,282,27,5,2,11,17,0,0,48,273
FIFA Official Stats,True,41,400021530,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021530,away,Morocco,home,Canada,50%,13% in contest,3,0,2,1,3,5,4,1,3,2,5,2,3,3,18,251,82,91,78,64,7,144,85,17,9,4,0,14,3,499,420,6,1,1,1,26,0,0,46,189
FIFA Official Stats,True,41,400021533,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021533,home,Paraguay,away,France,22%,12% in contest,0,1,0,0,0,5,0,4,1,4,5,4,1,5,7,69,23,32,14,46,2,144,46,16,3,0,0,13,0,191,108,6,0,3,2,10,0,0,40,268
FIFA Official Stats,True,41,400021533,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021533,away,France,home,Paraguay,66%,12% in contest,1,0,1,0,0,15,5,9,5,10,35,6,14,9,31,267,85,82,100,108,11,141,114,13,10,3,0,11,0,587,526,20,0,3,12,12,1,0,37,95
FIFA Official Stats,True,41,400021532,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021532,home,Brazil,away,Norway,32%,8% in contest,1,2,1,0,0,14,4,3,9,5,18,1,8,5,14,297,88,109,100,87,8,122,77,25,12,1,0,7,1,347,298,16,0,6,5,5,1,0,38,401
FIFA Official Stats,True,41,400021532,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021532,away,Norway,home,Brazil,60%,8% in contest,2,1,1,1,2,9,5,4,7,2,19,5,10,6,25,364,71,164,129,151,8,193,135,15,7,0,0,6,1,683,627,17,3,1,5,8,0,0,28,185
FIFA Official Stats,True,41,400021531,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021531,home,Mexico,away,England,59%,10% in contest,2,3,2,0,0,20,5,7,12,8,31,8,11,8,24,435,147,143,145,126,8,161,114,18,8,2,0,14,1,485,448,49,11,11,12,6,1,0,33,182
FIFA Official Stats,True,41,400021531,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021531,away,England,home,Mexico,31%,10% in contest,3,2,3,0,2,6,5,0,4,2,10,4,8,0,9,227,38,92,97,39,12,129,69,21,9,4,1,7,0,254,204,8,3,2,2,13,1,0,28,243
FIFA Official Stats,True,41,400021529,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021529,home,Portugal,away,Spain,41%,9% in contest,0,1,0,0,0,10,2,6,8,2,19,3,3,7,23,315,73,140,102,108,9,195,127,20,10,2,0,9,2,459,378,12,4,10,3,14,0,0,43,342
FIFA Official Stats,True,41,400021529,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021529,away,Spain,home,Portugal,50%,9% in contest,1,0,1,0,1,15,6,8,7,8,13,14,11,10,16,395,119,142,134,126,17,218,164,24,16,1,0,13,1,548,490,18,1,5,7,11,0,0,55,294
FIFA Official Stats,True,41,400021534,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021534,home,USA,away,Belgium,51%,9% in contest,1,4,0,1,0,7,2,4,5,2,32,9,4,12,18,400,107,142,151,78,14,201,155,21,14,2,0,11,0,553,483,13,2,5,3,10,0,0,41,232
FIFA Official Stats,True,41,400021534,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021534,away,Belgium,home,USA,40%,9% in contest,4,1,3,1,4,15,7,4,10,5,12,4,8,3,13,239,71,78,90,94,4,176,90,18,7,0,0,9,1,423,340,19,7,8,5,11,0,0,48,295
FIFA Official Stats,True,41,400021528,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021528,home,Argentina,away,Egypt,57%,10% in contest,3,2,3,0,3,19,7,9,11,8,20,14,17,10,22,394,125,107,162,126,11,186,152,19,12,0,0,13,3,618,558,26,8,5,6,10,0,0,39,190
FIFA Official Stats,True,41,400021528,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021528,away,Egypt,home,Argentina,34%,10% in contest,2,3,2,0,2,5,2,2,4,1,6,2,4,2,15,316,39,164,113,55,1,160,81,13,4,4,0,11,0,382,316,8,2,2,1,16,0,0,27,380
FIFA Official Stats,True,41,400021535,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021535,home,Switzerland,away,Colombia,48%,8% in contest,0,0,0,0,0,7,2,3,4,3,27,6,8,8,15,515,115,223,177,116,12,225,162,28,13,3,0,22,5,641,561,16,1,6,3,25,0,0,49,316
FIFA Official Stats,True,41,400021535,https://www.fifa.com/en/match-centre/match/17/285023/289288/400021535,away,Colombia,home,Switzerland,44%,8% in contest,0,0,0,0,0,15,3,7,9,6,14,3,7,9,15,431,135,159,137,91,7,223,136,20,4,2,0,21,4,562,462,17,3,12,7,27,0,0,52,338
FIFA Official Stats,True,41,400021536,https://www.fifa.com/en/match-centre/match/17/285023/289289/400021536,home,France,away,Morocco,46%,8% in contest,2,0,1,1,2,22,8,10,13,9,22,9,9,9,21,333,96,120,117,119,10,145,116,17,9,0,0,10,0,497,450,13,5,5,5,12,0,0,38,263
FIFA Official Stats,True,41,400021536,https://www.fifa.com/en/match-centre/match/17/285023/289289/400021536,away,Morocco,home,France,46%,8% in contest,0,2,0,0,0,5,1,3,1,4,23,3,5,5,6,306,69,146,91,85,6,133,85,14,6,1,0,13,0,539,469,16,2,4,5,10,0,0,36,286
FIFA Official Stats,True,41,400021538,https://www.fifa.com/en/match-centre/match/17/285023/289289/400021538,home,Spain,away,Belgium,61%,9% in contest,2,1,2,0,0,17,8,6,11,6,20,8,12,9,28,519,160,220,139,164,16,243,187,29,18,2,0,13,3,693,625,21,3,6,5,19,0,0,37,206
FIFA Official Stats,True,41,400021538,https://www.fifa.com/en/match-centre/match/17/285023/289289/400021538,away,Belgium,home,Spain,30%,9% in contest,1,2,1,0,1,5,2,1,4,1,6,6,2,2,9,190,51,85,54,63,7,168,94,22,9,2,0,18,1,320,254,12,2,0,1,16,0,0,40,339
FIFA Official Stats,True,41,400021539,https://www.fifa.com/en/match-centre/match/17/285023/289289/400021539,home,Norway,away,England,44%,9% in contest,1,2,1,0,1,13,4,7,10,3,16,7,4,15,18,440,88,163,189,110,4,174,115,10,3,1,0,10,1,582,504,18,3,0,7,12,0,0,33,324
FIFA Official Stats,True,41,400021539,https://www.fifa.com/en/match-centre/match/17/285023/289289/400021539,away,England,home,Norway,47%,9% in contest,2,1,2,0,1,14,7,4,8,6,27,8,9,7,30,480,103,144,233,109,13,191,137,23,15,0,0,8,5,653,593,21,8,14,4,11,0,0,42,304
FIFA Official Stats,True,41,400021537,https://www.fifa.com/en/match-centre/match/17/285023/289289/400021537,home,Argentina,away,Switzerland,54%,9% in contest,3,1,2,1,2,22,7,11,12,10,14,13,19,9,16,436,149,135,152,111,8,192,110,19,7,3,0,14,4,716,629,16,7,5,8,21,0,0,39,241
FIFA Official Stats,True,41,400021537,https://www.fifa.com/en/match-centre/match/17/285023/289289/400021537,away,Switzerland,home,Argentina,37%,9% in contest,1,3,1,0,1,11,5,4,5,6,17,9,10,9,13,277,63,104,110,94,9,187,112,26,8,2,1,18,3,476,404,22,4,2,2,17,0,0,43,367
FIFA Official Stats,True,41,400021541,https://www.fifa.com/en/match-centre/match/17/285023/289290/400021541,home,France,away,Spain,46%,9% in contest,0,2,0,0,0,10,3,6,4,6,28,5,5,5,13,329,78,122,129,105,8,183,124,19,8,2,0,11,4,496,417,22,3,3,7,17,0,0,51,298
FIFA Official Stats,True,41,400021541,https://www.fifa.com/en/match-centre/match/17/285023/289290/400021541,away,Spain,home,France,45%,9% in contest,2,0,2,0,1,10,2,6,5,5,26,6,3,7,9,438,92,217,129,115,7,183,119,19,9,1,0,12,5,517,439,8,2,1,1,14,1,0,54,309
FIFA Official Stats,True,41,400021540,https://www.fifa.com/en/match-centre/match/17/285023/289290/400021540,home,England,away,Argentina,35%,9% in contest,1,2,1,0,1,5,2,1,2,3,19,3,7,3,14,300,81,83,136,65,10,151,89,20,13,1,0,11,1,353,293,15,1,2,1,18,0,0,32,320
FIFA Official Stats,True,41,400021540,https://www.fifa.com/en/match-centre/match/17/285023/289290/400021540,away,Argentina,home,England,56%,9% in contest,2,1,1,1,2,15,5,8,7,8,14,5,10,7,23,430,100,123,207,107,9,162,125,14,8,3,0,15,3,610,549,20,6,6,6,12,0,0,39,188
FIFA Official Stats,True,41,400021542,https://www.fifa.com/en/match-centre/match/17/285023/289291/400021542,home,France,away,England,41%,8% in contest,4,6,4,0,4,19,9,8,12,7,19,4,11,8,24,340,120,127,93,120,15,141,123,19,16,0,0,14,3,453,412,8,1,5,3,10,0,0,30,335
FIFA Official Stats,True,41,400021542,https://www.fifa.com/en/match-centre/match/17/285023/289291/400021542,away,England,home,France,51%,8% in contest,6,4,4,2,3,19,11,5,15,4,21,7,4,5,11,353,82,140,131,85,14,178,132,25,17,0,0,8,3,535,479,13,5,5,4,16,1,0,32,223
FIFA Official Stats,True,41,400021543,https://www.fifa.com/en/match-centre/match/17/285023/289292/400021543,home,Spain,away,Argentina,60%,8% in contest,1,0,1,0,1,20,12,6,8,12,29,10,13,12,37,605,179,263,163,149,18,270,205,31,22,0,0,21,4,878,789,24,4,13,9,25,0,0,56,300
FIFA Official Stats,True,41,400021543,https://www.fifa.com/en/match-centre/match/17/285023/289292/400021543,away,Argentina,home,Spain,32%,8% in contest,0,1,0,0,0,2,0,1,1,1,15,0,5,5,11,312,60,124,128,75,6,198,105,16,5,6,1,25,1,476,375,9,1,5,4,25,0,0,54,445
