date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_diff_home,fotmob_match_id,fotmob_date_query,fotmob_league_id,fotmob_league,fotmob_home_team,fotmob_home_long,fotmob_home_score,fotmob_away_team,fotmob_away_long,fotmob_away_score,fotmob_status,fotmob_utc_time,match_score,match_reversed,fotmob_match_status
2025-11-17,Qatar,Zimbabwe,1,2,Friendly,Al Rayyan,Qatar,False,away_win,-1,5061366.0,20251118,896519.0,Friendlies,Qatar,Qatar,1.0,Zimbabwe,Zimbabwe,2.0,FT,2025-11-17T16:30:00.000Z,1.08,False,matched
2025-11-17,Germany,Slovakia,6,0,FIFA World Cup qualification,Leipzig,Germany,False,home_win,6,4689260.0,20251118,896533.0,World Cup Qualification UEFA 1st Round Grp. A,Germany,Germany,6.0,Slovakia,Slovakia,0.0,FT,2025-11-17T19:45:00.000Z,1.08,False,matched
2025-11-17,Netherlands,Lithuania,4,0,FIFA World Cup qualification,Amsterdam,Netherlands,False,home_win,4,4689280.0,20251118,896539.0,World Cup Qualification UEFA 1st Round Grp. G,Netherlands,Netherlands,4.0,Lithuania,Lithuania,0.0,FT,2025-11-17T19:45:00.000Z,1.08,False,matched
2025-11-17,Czech Republic,Gibraltar,6,0,FIFA World Cup qualification,Olomouc,Czech Republic,False,home_win,6,4689381.0,20251118,896544.0,World Cup Qualification UEFA 1st Round Grp. L,Czechia,Czechia,6.0,Gibraltar,Gibraltar,0.0,FT,2025-11-17T19:45:00.000Z,1.08,False,matched
2025-11-17,Montenegro,Croatia,2,3,FIFA World Cup qualification,Podgorica,Montenegro,False,away_win,-1,4689382.0,20251118,896544.0,World Cup Qualification UEFA 1st Round Grp. L,Montenegro,Montenegro,2.0,Croatia,Croatia,3.0,FT,2025-11-17T19:45:00.000Z,1.08,False,matched
2025-11-17,Cape Verde,Egypt,1,1,Al Ain International Cup,Al Ain,United Arab Emirates,True,draw,0,5060482.0,20251118,896519.0,Friendlies,Egypt,Egypt,1.0,Cape Verde,Cape Verde,1.0,Pen,2025-11-17T16:00:00.000Z,1.08,True,matched
2025-11-18,Morocco,Uganda,4,0,Friendly,Tangier,Morocco,False,home_win,4,5050858.0,20251119,896519.0,Friendlies,Morocco,Morocco,4.0,Uganda,Uganda,0.0,FT,2025-11-18T19:00:00.000Z,1.08,False,matched
2025-11-18,Oman,Ivory Coast,0,2,Friendly,Seeb,Oman,False,away_win,-2,5050779.0,20251119,896519.0,Friendlies,Oman,Oman,0.0,Ivory Coast,Ivory Coast,2.0,FT,2025-11-18T15:00:00.000Z,1.08,False,matched
2025-11-18,Saudi Arabia,Algeria,0,2,Friendly,Jeddah,Saudi Arabia,False,away_win,-2,5050656.0,20251119,896519.0,Friendlies,Saudi Arabia,Saudi Arabia,0.0,Algeria,Algeria,2.0,FT,2025-11-18T16:30:00.000Z,1.08,False,matched
2025-11-18,Kenya,Senegal,0,8,Friendly,Antalya,Turkey,True,away_win,-8,5050844.0,20251119,896519.0,Friendlies,Kenya,Kenya,0.0,Senegal,Senegal,8.0,FT,2025-11-18T15:00:00.000Z,1.08,False,matched
